Marker	g00	Gene	One	Two	Three	Four	Goterms	KO	Function
pacnes16:g000117:G000144045:HMPREF9608_RS03460__WP_002525550.1_1	g000117	117	267747.PPA0001	1.60E-283	979.9	DNAA	"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006164,GO:0006172,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006461,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009125,GO:0009126,GO:0009127,GO:0009128,GO:0009132,GO:0009133,GO:0009135,GO:0009136,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009152,GO:0009154,GO:0009156,GO:0009158,GO:0009161,GO:0009163,GO:0009164,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009169,GO:0009179,GO:0009180,GO:0009185,GO:0009188,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009260,GO:0009261,GO:0009889,GO:0009987,GO:0010556,GO:0016020,GO:0016043,GO:0016311,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0022607,GO:0030312,GO:0030554,GO:0031323,GO:0031326,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042451,GO:0042454,GO:0042455,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0044710,GO:0046031,GO:0046034,GO:0046128,GO:0046129,GO:0046130,GO:0046390,GO:0046434,GO:0046483,GO:0046700,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0051259,GO:0051260,GO:0055086,GO:0060255,GO:0065003,GO:0065007,GO:0070271,GO:0071704,GO:0071822,GO:0071840,GO:0071944,GO:0072521,GO:0072522,GO:0072523,GO:0080090,GO:0090304,GO:0090407,GO:0097159,GO:1901135,GO:1901136,GO:1901137,GO:1901265,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901659,GO:2000112"	K02313	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)
pacnes16:g001192:G000145335:HMPREF9573_RS05805__WP_002515399.1_1	g001192	1192	267747.PPA1953	2.50E-292	1009.2				Patatin-like phospholipase
pacnes16:g000225:G000144245:HMPREF9572_RS02470__WP_002515836.1_1	g000225	225	267747.PPA0041	9.10E-279	964.1			K02283	type II secretion system protein E
pacnes16:g003765:G000735065:PAST3_RS0111950__pseudo_1	g003765	3765	267747.PPA2269	4.30E-33	146	CYCA	"GO:0001761,GO:0001762,GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0009987,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015180,GO:0015187,GO:0015711,GO:0015804,GO:0015807,GO:0015808,GO:0015816,GO:0015849,GO:0015893,GO:0016020,GO:0019534,GO:0022857,GO:0022858,GO:0022889,GO:0022891,GO:0022892,GO:0032328,GO:0032329,GO:0034220,GO:0042221,GO:0042493,GO:0042891,GO:0042895,GO:0042940,GO:0042941,GO:0042942,GO:0042943,GO:0042944,GO:0042945,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0090484,GO:1901998"	"K03293,K11737,K11738"	Amino Acid
pacnes16:g003765:G000735065:PAST3_RS0111950__pseudo_2	g003765	3765	267747.PPA2269	2.90E-219	766.1	CYCA	"GO:0001761,GO:0001762,GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0009987,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015180,GO:0015187,GO:0015711,GO:0015804,GO:0015807,GO:0015808,GO:0015816,GO:0015849,GO:0015893,GO:0016020,GO:0019534,GO:0022857,GO:0022858,GO:0022889,GO:0022891,GO:0022892,GO:0032328,GO:0032329,GO:0034220,GO:0042221,GO:0042493,GO:0042891,GO:0042895,GO:0042940,GO:0042941,GO:0042942,GO:0042943,GO:0042944,GO:0042945,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0090484,GO:1901998"	"K03293,K11737,K11738"	Amino Acid
pacnes16:g000102:G000144025:HMPREF9613_RS09670__WP_014172598.1_1	g000102	102	267747.PPA2301	2.30E-290	1002.7	PCNA	"GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044464,GO:0071944"	"K00970,K00974"	polynucleotide adenylyltransferase metal dependent phosphohydrolase
pacnes16:g001794:G000217615:TIB1ST10_RS03855__WP_041445599.1_1	g001794	1794	267747.PPA0753	3.80E-277	958.7	MURE	"GO:0000270,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006022,GO:0006023,GO:0006024,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008765,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009252,GO:0009259,GO:0009261,GO:0009273,GO:0009987,GO:0016020,GO:0016874,GO:0016879,GO:0016881,GO:0019439,GO:0019637,GO:0019693,GO:0030203,GO:0034641,GO:0034645,GO:0034655,GO:0042278,GO:0042454,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0071944,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901137,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658"	K01928	acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)
pacnes16:g001222:G000145435:HMPREF9584_RS05605__WP_002526233.1_1	g001222	1222	267747.PPA0778	9.40E-276	954.1	RPSA	"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944"	"K02945,K03527"	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence (By similarity)
pacnes16:g000303:G000144285:HMPREF9592_RS03005__WP_002515281.1_1	g000303	303	267747.PPA0756	1.70E-285	986.5	MURD	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0040007,GO:0044424,GO:0044444,GO:0044464"	K01925	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA) (By similarity)
pacnes16:g002994:G000521425:JCM18918_1915__GAE76147.1_1	g002994	2994	267747.PPA0461	1.80E-287	993	MMSA		K00140	methylmalonate-semialdehyde dehydrogenase
pacnes16:g001986:G000252385:TICEST70_RS00140__WP_002525175.1_1	g001986	1986	428125.CLOLEP_00146	2.70E-278	962.6			K02283	type ii secretion system protein e
pacnes16:g002844:G000521405:JCM18916_3187__GAE73644.1_1	g002844	2844	267747.PPA1970	5.30E-279	964.9	PURF	"GO:0003674,GO:0003824,GO:0004044,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006163,GO:0006164,GO:0006520,GO:0006541,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009064,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0034641,GO:0034654,GO:0040007,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605"	"K00764,K03558"	glutamine phosphoribosylpyrophosphate amidotransferase
pacnes16:g002511:G000521385:JCM18909_3277__GAE69999.1_1	g002511	2511	267747.PPA2143	7.00E-271	937.9	PGDA	"GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944"		Polysaccharide deacetylase
pacnes16:g002183:G000472405:B148_RS0107540__WP_002516598.1_1	g002183	2183	267747.PPA1124	1.20E-283	980.3	GATB	"GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044464,GO:0071944"	K02434	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)
pacnes16:g001481:G000194845:HMPREF9338_RS09155__WP_002519058.1_1	g001481	1481	267747.PPA0903	3.80E-285	985.3	MEND	"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0008152,GO:0008683,GO:0009058,GO:0009233,GO:0009234,GO:0009987,GO:0016020,GO:0016740,GO:0016744,GO:0016829,GO:0016830,GO:0016831,GO:0016833,GO:0019842,GO:0030976,GO:0036094,GO:0040007,GO:0042180,GO:0042181,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044464,GO:0044710,GO:0044711,GO:0048037,GO:0050662,GO:0070204,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901576,GO:1901661,GO:1901663,GO:1901681"	K02551	Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate (SEPHCHC) (By similarity)
pacnes16:g001117:G000145155:HMPREF9586_RS10910__WP_002514451.1_1	g001117	1117	267747.PPA2008	3.10E-287	992.3	OADA		"K01571,K01958,K01960,K03416"	Oxaloacetate decarboxylase
pacnes16:g000537:G000144505:HMPREF9563_RS05155__WP_002515375.1_1	g000537	537	267747.PPA1923	9.70E-273	944.1	NUOM	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K00342	subunit m
pacnes16:g000684:G000144775:HMPREF9615_RS07970__WP_002516018.1_1	g000684	684	267747.PPA1753	2.00E-270	936.4				
pacnes16:g000923:G000144895:HMPREF9578_RS0111400__WP_002512749.1_1	g000923	923	267747.PPA0041	6.50E-277	958			K02283	type II secretion system protein E
pacnes16:g003493:G000521445:JCM18920_620__GAE79076.1_1	g003493	3493	267747.PPA0980	1.70E-168	597.8	FABF		K09458	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)
pacnes16:g002410:G000521385:JCM18909_216__GAE67174.1_1	g002410	2410	267747.PPA1073	9.90E-233	811.2	HRRS			Histidine kinase
pacnes16:g003333:G000521445:JCM18920_2360__GAE80664.1_1	g003333	3333	267747.PPA0079	6.10E-259	898.3	GABD		K00135	Aldehyde dehydrogenase
pacnes16:g001106:G000145155:HMPREF9586_RS06755__WP_002524675.1_1	g001106	1106	267747.PPA0285	1.00E-277	960.7	ALBF	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"		"drug resistance transporter, EmrB QacA subfamily"
pacnes16:g001403:G000194825:HMPREF9337_RS03965__WP_002516792.1_1	g001403	1403	267747.PPA1277	4.10E-279	965.3			K02035	"Extracellular solute-binding protein, family 5"
pacnes16:g003500:G000521445:JCM18920_675__GAE79128.1_1	g003500	3500	267747.PPA1017	2.20E-285	986.1	MIAB	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016782,GO:0034470,GO:0034641,GO:0034660,GO:0035596,GO:0035597,GO:0035600,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050497,GO:0071704,GO:0090304,GO:1901360"	K06168	"Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine (By similarity)"
pacnes16:g001648:G000194905:HMPREF9344_RS08395__WP_002522929.1_1	g001648	1648	267747.PPA0181	1.00E-282	977.2	LYSS	"GO:0003674,GO:0003824,GO:0004812,GO:0004824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006430,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0016876,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901564,GO:1901576"	K04567	lysyl-tRNA synthetase
pacnes16:g000526:G000144505:HMPREF9563_RS01505__WP_002519184.1_1	g000526	526	267747.PPA0644	2.30E-298	1029.2			K05991	Cellulase (glycosyl hydrolase family 5)
pacnes16:g000396:G000144385:HMPREF9595_RS08505__WP_002519007.1_1	g000396	396	267747.PPA1021	4.80E-264	915.2	HFLX	"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005524,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0016020,GO:0017076,GO:0019001,GO:0019843,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0032561,GO:0035639,GO:0036094,GO:0043021,GO:0043022,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0050896,GO:0071944,GO:0097159,GO:1901265,GO:1901363"	K03665	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)
pacnes16:g003362:G000521445:JCM18920_257__GAE78736.1_1	g003362	3362	267747.PPA0708	2.40E-271	939.5	GUAB1	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0044424,GO:0044444,GO:0044464,GO:0071944"	K00088	Dehydrogenase
pacnes16:g002891:G000521405:JCM18916_3896__GAE74296.1_1	g002891	2891	267747.PPA2271	4.30E-273	945.3	RLPA		K03642	rare lipoprotein a
pacnes16:g002247:G000496895:H497_RS10825__WP_002517929.1_1	g002247	2247	267747.PPA1337	1.60E-267	926.8	MTRB	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944"	K07654	Histidine kinase
pacnes16:g001983:G000240035:TIA2EST22_RS11510__WP_002530217.1_1	g001983	1983	267747.PPA2301	2.20E-256	889.8	PCNA	"GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044464,GO:0071944"	"K00970,K00974"	polynucleotide adenylyltransferase metal dependent phosphohydrolase
pacnes16:g003162:G000521425:JCM18918_548__GAE74886.1_1	g003162	3162	267747.PPA1310	2.00E-209	733.8	YLBL	"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004175,GO:0004176,GO:0004252,GO:0005488,GO:0005524,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006508,GO:0006515,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0009056,GO:0009057,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009295,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0017171,GO:0019439,GO:0019538,GO:0019637,GO:0019693,GO:0019941,GO:0030163,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042454,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051603,GO:0055086,GO:0070011,GO:0070407,GO:0071704,GO:0072521,GO:0072523,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	K07177	secreted protein
pacnes16:g003688:G000735065:PAST3_RS0110300__pseudo_1	g003688	3688	267747.PPA0619	4.10E-97	359.4			K03457	"permease for cytosine purines, uracil, thiamine, allantoin"
pacnes16:g003688:G000735065:PAST3_RS0110300__pseudo_2	g003688	3688	267747.PPA0619	5.10E-101	372.5			K03457	"permease for cytosine purines, uracil, thiamine, allantoin"
pacnes16:g003688:G000735065:PAST3_RS0110300__pseudo_3	g003688	3688	267747.PPA0619	1.90E-33	146.4			K03457	"permease for cytosine purines, uracil, thiamine, allantoin"
pacnes16:g000005:G000008345:PPA_RS01885__WP_002517066.1_1	g000005	5	267747.PPA0369	9.90E-286	987.3	GLYA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K00600	"Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)"
pacnes16:g001268:G000145535:HMPREF9569_RS05480__WP_002520125.1_1	g001268	1268	267747.PPA1982	3.40E-278	962.2	PHON		K09474	phosphatase
pacnes16:g000766:G000144815:HMPREF9576_RS02740__WP_002517987.1_1	g000766	766	267747.PPA1265	3.20E-276	955.7	PDTAS	"GO:0000155,GO:0000160,GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0004672,GO:0004673,GO:0004871,GO:0004872,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0017076,GO:0019538,GO:0023014,GO:0023052,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0038023,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044699,GO:0044700,GO:0044763,GO:0046777,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060089,GO:0065007,GO:0071704,GO:0097159,GO:1901265,GO:1901363"	K00936	Histidine kinase
pacnes16:g001021:G000145115:HMPREF9601_RS03110__WP_002531270.1_1	g001021	1021	267747.PPA1787	4.30E-273	945.3	RHLE		K11927	Helicase
pacnes16:g002850:G000521405:JCM18916_3251__GAE73701.1_1	g002850	2850	267747.PPA0068	1.50E-196	691				Histidine kinase
pacnes16:g003262:G000521445:JCM18920_1679__GAE80039.1_1	g003262	3262	267747.PPA1643	1.30E-258	897.1	CYCA	"GO:0001761,GO:0001762,GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006865,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0009987,GO:0015075,GO:0015171,GO:0015175,GO:0015179,GO:0015180,GO:0015187,GO:0015711,GO:0015804,GO:0015807,GO:0015808,GO:0015816,GO:0015849,GO:0015893,GO:0016020,GO:0019534,GO:0022857,GO:0022858,GO:0022889,GO:0022891,GO:0022892,GO:0032328,GO:0032329,GO:0034220,GO:0042221,GO:0042493,GO:0042891,GO:0042895,GO:0042940,GO:0042941,GO:0042942,GO:0042943,GO:0042944,GO:0042945,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0090484,GO:1901998"	"K03293,K11737,K11738"	Amino Acid
pacnes16:g001058:G000145135:HMPREF9579_RS01120__WP_002525101.1_1	g001058	1058	267747.PPA0598	4.80E-272	941.8	MPRA	"GO:0005575,GO:0005576"	"K14645,K14743"	Peptidase S8 and S53 subtilisin kexin sedolisin
pacnes16:g002884:G000521405:JCM18916_3839__GAE74247.1_1	g002884	2884	267747.PPA0094	1.20E-283	980.3	ASPA	"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006531,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008797,GO:0009058,GO:0009066,GO:0009987,GO:0016020,GO:0016053,GO:0016829,GO:0016840,GO:0016841,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0044711,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605"	K01744	Aspartate ammonia-lyase
pacnes16:g000473:G000144465:HMPREF9599_RS08015__WP_002513095.1_1	g000473	473	765123.HMPREF9621_02341	1.50E-281	973.4	GLYA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K00600	"Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)"
pacnes16:g003534:G000709495:TIA1EST1_RS01110__WP_002519955.1_1	g003534	3534	267747.PPA0210	5.40E-260	901.7	THRE	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"		Amino acid export carrier protein
pacnes16:g002818:G000521405:JCM18916_2890__GAE73379.1_1	g002818	2818	267747.PPA1809	1.50E-121	441.8	TRUA	"GO:0005575,GO:0005618,GO:0005623,GO:0008150,GO:0030312,GO:0040007,GO:0044464,GO:0071944"	K06173	"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs (By similarity)"
pacnes16:g000620:G000144735:HMPREF9612_RS08085__WP_002550499.1_1	g000620	620	452652.KSE_42310	5.70E-108	396.7				Amp-dependent synthetase and ligase
pacnes16:g003701:G000735065:PAST3_RS0110735__WP_032503241.1_1	g003701	3701	1051006.HMPREF1162_1050	2.40E-239	833.2				
pacnes16:g001642:G000194905:HMPREF9344_RS06565__WP_002523186.1_1	g001642	1642	1051006.HMPREF1162_1050	1.20E-246	857.4				
pacnes16:g001761:G000213155:PAZ_RS01690__WP_002518726.1_1	g001761	1761	267747.PPA0329	1.90E-276	956.4			K03088	"RNA polymerase sigma-24 subunit, ECF subfamily"
pacnes16:g000236:G000144245:HMPREF9572_RS06475__WP_002515314.1_1	g000236	236	1051006.HMPREF1162_0648	3.50E-275	952.2	GUAB1	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0044424,GO:0044444,GO:0044464,GO:0071944"	K00088	Dehydrogenase
pacnes16:g000777:G000144815:HMPREF9576_RS06915__WP_002525958.1_1	g000777	777	585530.HMPREF0183_0759	2.90E-168	597			K03655	Transcriptional regulator
