Organism	g00	KO	Function
mluteus16	g000669	K00036	glucose-6-phosphate 1-dehydrogenase
mluteus16	g000278		uridylyltransferase
mluteus16	g000424	K07478	recombination factor protein RarA
mluteus16	g001142	K08253	Capsular exopolysaccharide family
mluteus16	g003166	K03299	Gluconate transporter
mluteus16	g001776	K13571	"Catalyzes the covalent attachment of the prokaryotic ubiquitin-like protein modifier Pup to the proteasomal substrate proteins, thereby targeting them for proteasomal degradation. This tagging system is termed pupylation. The ligation reaction involves the side-chain carboxylate of the C-terminal glutamate of Pup and the side-chain amino group of a substrate lysine (By similarity)"
mluteus16	g000701	K03311	Amino Acid
mluteus16	g001707	K15372	Aminotransferase
mluteus16	g002869	K02314	replicative DNA helicase
mluteus16	g001571	K08253	Capsular exopolysaccharide family
mluteus16	g004145	K02283	type II secretion system protein E
mluteus16	g002227		integral membrane protein
mluteus16	g001556	K03294	amino acid
mluteus16	g001188	"K00135,K08324"	Dehydrogenase
mluteus16	g001099	K02342	dna polymerase iii
mluteus16	g000332		glycosyl transferase family 2
mluteus16	g002739		glycosyl transferase family 2
mluteus16	g003538		peptidase s1 and s6 chymotrypsin hap
mluteus16	g003066	K01880	Catalyzes the attachment of glycine to tRNA(Gly) (By similarity)
mluteus16	g002895	K01465	dihydroorotase
mluteus16	g004055	K00382	dihydrolipoyl dehydrogenase
mluteus16	g002628		Membrane
mluteus16	g003480		Histidine kinase
mluteus16	g001299	K01892	histidyl-tRNA synthetase
mluteus16	g002194		nucleoside recognition domain protein
mluteus16	g000200		
mluteus16	g003406		Monooxygenase
mluteus16	g003281	"K01738,K01740"	O-Acetylhomoserine
mluteus16	g000820		"transposase, IS4 family protein"
mluteus16	g000820		"transposase, IS4 family protein"
mluteus16	g003077	K01425	Glutaminase
mluteus16	g000761	"K00382,K00520"	pyridine nucleotide-disulfide oxidoreductase
mluteus16	g000855	"K02824,K03458,K09016"	Permease
mluteus16	g003313	K11749	Peptidase M50
mluteus16	g000502	K01740	O-Acetylhomoserine
mluteus16	g001272	K01912	Inherit from bactNOG: coenzyme f390
mluteus16	g003461		acyl-Coa dehydrogenase
mluteus16	g002245	K01892	histidyl-tRNA synthetase
mluteus16	g000261	K03498	H( )-transporting two-sector ATPase (EC 3.6.3.14)
mluteus16	g002750		Transporter
mluteus16	g002785	K00508	fatty acid desaturase
mluteus16	g004033	K01912	Inherit from bactNOG: coenzyme f390
mluteus16	g003249	K01046	Triacylglycerol lipase
mluteus16	g003922		Secreted protein
mluteus16	g002233	K03431	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)
mluteus16	g002887	K00763	Nicotinate phosphoribosyltransferase
mluteus16	g001636	K18277	flavin-containing monooxygenase
mluteus16	g000309	"K10960,K17830"	geranylgeranyl reductase
mluteus16	g003610	K07778	Histidine kinase
mluteus16	g002500	K06213	transporter
mluteus16	g002012		transporter
mluteus16	g000268	K02492	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA) (By similarity)
mluteus16	g002007		Histidine kinase
mluteus16	g002934	K06213	transporter
mluteus16	g002619	K00059	reductase
mluteus16	g001016	K01772	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)
mluteus16	g003456	K01740	O-Acetylhomoserine
mluteus16	g000457	K00147	Catalyzes the NADPH dependent reduction of L-gamma- glutamyl 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5-carboxylate (By similarity)
mluteus16	g003476		fad dependent oxidoreductase
mluteus16	g003673	K01912	phenylacetate-CoA ligase
mluteus16	g003513		Histidine kinase
mluteus16	g003078	"K02484,K07645"	Histidine kinase
mluteus16	g001381	K07452	AAA domain (dynein-related subfamily)
mluteus16	g000718	"K00626,K00632"	Acetyl-COA acetyltransferase
mluteus16	g002653	K01866	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)
mluteus16	g001689	K14445	Transporter
mluteus16	g000182	K07493	Transposase
mluteus16	g003540	K07497	"Mu transposase, C-terminal"
mluteus16	g004009	K00773	"Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)"
mluteus16	g001558	"K08252,K08253"	Capsular exopolysaccharide family
mluteus16	g001565	K01915	glutamine synthetase
mluteus16	g000861	K01269	Peptidase M1 membrane alanine aminopeptidase
mluteus16	g003548	K00262	glutamate dehydrogenase
mluteus16	g000033		Metal ion transport protein
mluteus16	g002597	"K00955,K00956"	"may be the GTPase, regulating ATP sulfurylase activity (By similarity)"
mluteus16	g003594	K01915	glutamine synthetase
mluteus16	g003247		Metal ion transport protein
mluteus16	g003096		TrwC relaxase
mluteus16	g003081		Histidine kinase
mluteus16	g002928	"K00756,K00758"	thymidine phosphorylase
mluteus16	g003353		TPR-repeat-containing protein
mluteus16	g001570		
mluteus16	g003901		Esterase
mluteus16	g003038		Methyltransferase
mluteus16	g000214		Transposase
mluteus16	g000509		
mluteus16	g003566	K01754	Threonine dehydratase
mluteus16	g000923		peptidase s1 and s6 chymotrypsin hap
mluteus16	g003767	K03897	ec 1.14.13.59
mluteus16	g000129		"Peptidase, M16"
mluteus16	g001936	K00790	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)
mluteus16	g001085	K08161	Sugar (and other) transporter
mluteus16	g001489	K03517	Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate (By similarity)
mluteus16	g002969	K03517	Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate (By similarity)
mluteus16	g003227	K06189	(CBS) domain
mluteus16	g000051	K00773	"Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)"
mluteus16	g004110		peptidase
mluteus16	g000195	K01696	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)
mluteus16	g001309	K01845	Glutamate-1-semialdehyde aminotransferase
mluteus16	g000315	K02283	type ii secretion system protein e
mluteus16	g001440		Membrane
mluteus16	g001443	"K00003,K12524"	homoserine dehydrogenase
mluteus16	g002602	"K00823,K07250"	4-aminobutyrate aminotransferase
mluteus16	g003251	K02106	fatty acid transporter
mluteus16	g002655	K19577	Major Facilitator
mluteus16	g001978	K06902	Major facilitator superfamily
mluteus16	g001584	K19577	Major facilitator superfamily
mluteus16	g001240	K06902	Major facilitator superfamily
mluteus16	g003443	"K10108,K15770"	extracellular solute-binding protein family 1
mluteus16	g003495		Major facilitator superfamily
mluteus16	g003115		integral membrane protein
mluteus16	g002114	"K05548,K08369"	)-transporter
mluteus16	g003181	"K00013,K15509"	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine (By similarity)
mluteus16	g000329		Domain of unknown function DUF20
mluteus16	g003067		Major facilitator superfamily
mluteus16	g000192	"K02858,K14652"	"Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate (By similarity)"
mluteus16	g002531		Glycosyl transferases group 1
mluteus16	g000283	K03601	"Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)"
mluteus16	g002582	"K02472,K13015"	Dehydrogenase
mluteus16	g003412	K03761	#NAME?
mluteus16	g003408		acyl-Coa dehydrogenase
mluteus16	g002216		Bacteriophage (PhiC31) resistance gene PglZ
mluteus16	g003095	"K06147,K06148,K16012,K16013,K16014"	abc transporter
mluteus16	g003455	"K01739,K01758,K01760,K17217"	cystathionine
mluteus16	g001550		D-ala D-ala ligase C-terminus
mluteus16	g002998	K03076	"The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)"
mluteus16	g000081	K02057	abc transporter
mluteus16	g000014		Transposase
mluteus16	g003250	K01637	Isocitrate lyase
mluteus16	g001712		
mluteus16	g002932	K02027	extracellular solute-binding protein family 1
mluteus16	g001327	K08161	Sugar (and other) transporter
mluteus16	g003555	K08161	Sugar (and other) transporter
mluteus16	g002982	K08161	Sugar (and other) transporter
mluteus16	g002162		symporter
mluteus16	g002892		Lipopolysaccharide kinase (Kdo/WaaP) family
mluteus16	g002492	"K01770,K12506"	"Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP) (By similarity)"
mluteus16	g001298	K03294	Amino Acid
mluteus16	g001557	K01912	Coenzyme F390 synthetase-like protein
mluteus16	g000856	K00508	fatty acid desaturase
mluteus16	g002340		Glycosyl transferase family 2
mluteus16	g000721	K03544	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP (By similarity)
mluteus16	g000074		
mluteus16	g001541		Major facilitator superfamily
mluteus16	g002716		peptidase s1 and s6 chymotrypsin hap
mluteus16	g000506		membrane protein involved in the export of O-antigen and teichoic acid
mluteus16	g001674		"Phage portal protein, SPP1 Gp6-like"
mluteus16	g001682	"K08225,K13783"	major facilitator Superfamily
mluteus16	g001762	K02346	Poorly processive error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by polIV. Exhibits no 3-5 exonuclease (proofreading) activity. May be involved in translesional synthesis in conjunction with the beta clamp from polIII (By similarity)
mluteus16	g003879	K01286	penicillin-binding protein beta-lactamase class C
mluteus16	g003462		acyl-CoA dehydrogenase
mluteus16	g000244	K03588	"Cell division protein, FtsW"
mluteus16	g000077	"K02010,K10112"	abc transporter
mluteus16	g003645	K13038	Phosphopantothenoylcysteine decarboxylase
mluteus16	g002508	K07485	"transposase, IS204 IS1001 IS1096 IS1165 family protein"
mluteus16	g001271		Cytochrome p-450
mluteus16	g002470	"K01436,K01451"	amidohydrolase
mluteus16	g000317	"K01945,K01952"	Phosphoribosylglycinamide synthetase
mluteus16	g000039	K01939	Plays an important role in the de novo pathway of purine nucleotide biosynthesis
mluteus16	g003023	"K00529,K12265"	reductase
mluteus16	g001088	K03320	ammonium transporter
mluteus16	g001856	K01154	Restriction modification system DNA (Specificity
mluteus16	g001582	"K00818,K00821"	Acetylornithine aminotransferase
mluteus16	g002293	"K00928,K12524"	Aspartokinase
mluteus16	g001229	K00833	"Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor (By similarity)"
mluteus16	g002053		Domain of unknown function DUF20
mluteus16	g002832		Pyridine nucleotide-disulphide oxidoreductase
mluteus16	g002001		Transposase
mluteus16	g002507	"K02004,K16918"	Permease protein
mluteus16	g001289	K01875	"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)"
mluteus16	g001057		)-transporter
mluteus16	g000830	K07493	Transposase
mluteus16	g000345		Integrase
mluteus16	g002443	K00261	glutamate dehydrogenase
mluteus16	g002930	K00600	"Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)"
mluteus16	g000429	K02495	Coproporphyrinogen iii oxidase
mluteus16	g002805		Uncharacterized protein conserved in bacteria N-term (DUF3322)
mluteus16	g002247	K03294	Amino Acid
mluteus16	g004016	"K04771,K08372"	Peptidase s1 and s6 chymotrypsin hap
mluteus16	g003390		Pyridine nucleotide-disulphide oxidoreductase
mluteus16	g000805	K03684	ribonuclease d
mluteus16	g001638	"K00626,K00632,K02615"	Acetyl-CoA acetyltransferase
mluteus16	g001622		Membrane
mluteus16	g000082	K01689	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)
mluteus16	g002958	K04096	DNA protecting protein DprA
mluteus16	g002552		Membrane
mluteus16	g003606		major facilitator superfamily protein
mluteus16	g003162		Type III effector Hrp-dependent
mluteus16	g001553		protein involved in the export of O-antigen and teichoic acid
mluteus16	g003048	K02004	FtsX-like permease family
mluteus16	g000426	K07082	Aminodeoxychorismate lyase
mluteus16	g002266	K06131	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol (By similarity)
mluteus16	g002950		Aminotransferase
mluteus16	g002993	K06902	Major facilitator superfamily
mluteus16	g000270		MgtE intracellular region
mluteus16	g000794	"K01883,K15526"	Catalyzes the ATP-dependent condensation of GlcN-Ins and L-cysteine to form L-Cys-GlcN-Ins (By similarity)
mluteus16	g002989	"K02302,K02303,K13542"	Uroporphyrin-III c-methyltransferase
mluteus16	g001779		integrase family
mluteus16	g000183	K07493	Transposase
mluteus16	g002983	K03320	ammonium transporter
mluteus16	g003893	K01647	citrate synthase
mluteus16	g002070	"K00789,K01992"	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
mluteus16	g000102		group 1 glycosyl transferase
mluteus16	g000819		Pyridine nucleotide-disulphide oxidoreductase
mluteus16	g000858	"K04771,K08372"	Peptidase s1 and s6 chymotrypsin hap
mluteus16	g000591	K03449	major facilitator superfamily MFS_1
mluteus16	g000955	K05794	Integral membrane protein terc
mluteus16	g002908	K09760	DNA recombination protein
mluteus16	g000897		Histidine kinase
mluteus16	g001684		Histidine kinase
mluteus16	g001319	K02472	Dehydrogenase
mluteus16	g003508		
mluteus16	g003091	K09458	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)
mluteus16	g001304	K00508	fatty acid desaturase
mluteus16	g000738	"K01739,K01758,K01760,K10764,K17217"	Cystathionine gamma-synthase
mluteus16	g000080	"K01436,K01451"	amidohydrolase
mluteus16	g000546		acyl-Coa dehydrogenase
mluteus16	g001700		
mluteus16	g003407		transporter
mluteus16	g000373		Pyridine nucleotide-disulphide oxidoreductase
mluteus16	g000724		Aminotransferase
mluteus16	g000623	K07493	Transposase
mluteus16	g000760	K07493	Transposase
mluteus16	g002527	"K02472,K13015"	Dehydrogenase
mluteus16	g003615	K04768	histone deacetylase
mluteus16	g003387		
mluteus16	g002522	K07493	Transposase
mluteus16	g003069	"K01657,K01665,K13950"	anthranilate synthase component i
mluteus16	g001482	K07493	Transposase
mluteus16	g003330	K01689	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)
mluteus16	g002072	"K02472,K13015"	Dehydrogenase
mluteus16	g002956	K07493	Transposase
mluteus16	g003718	K07493	Transposase
mluteus16	g000541	K00975	"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans (By similarity)"
mluteus16	g000008		
mluteus16	g003086		Histidine kinase
mluteus16	g003335	K07493	Transposase
mluteus16	g000652	K03455	Sodium/hydrogen exchanger family
mluteus16	g000842	K07493	Transposase
mluteus16	g000205	"K00927,K01803"	phosphoglycerate kinase
mluteus16	g002957	K09458	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)
mluteus16	g002954	"K02361,K02552"	Isochorismate synthase
mluteus16	g000792	K00975	"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans (By similarity)"
mluteus16	g003157	K01809	mannose-6-phosphate isomerase
mluteus16	g003956		transcriptional
mluteus16	g002180	K02472	Dehydrogenase
mluteus16	g001552		glycosyl transferase group 1
mluteus16	g001987	K01940	Citrulline--aspartate ligase
mluteus16	g001998	K14727	Carboxymuconolactone decarboxylase family
mluteus16	g000331		
mluteus16	g003264		Histidine kinase
mluteus16	g001313	K11055	evasion or tolerance of host defense response
mluteus16	g002986	"K07033,K09015"	FeS assembly protein SufD
mluteus16	g000284	K14260	Aminotransferase
mluteus16	g000548	K01012	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism (By similarity)
mluteus16	g001451		Transcriptional regulator
mluteus16	g000126	K00099	Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP) (By similarity)
mluteus16	g000584	"K05827,K05844"	ribosomal protein S6 modification protein
mluteus16	g000227	K01736	5-enolpyruvylshikimate-3-phosphate phospholyase
mluteus16	g003649		Major Facilitator
mluteus16	g000287	K07028	Phosphotransferase
mluteus16	g001230	"K00639,K00652"	"Catalyzes the decarboxylative condensation of pimeloyl- acyl-carrier protein and L-alanine to produce 8-amino-7- oxononanoate (AON), acyl-carrier protein , and carbon dioxide (By similarity)"
mluteus16	g000943		Major Facilitator
mluteus16	g000561		Conserved Protein
mluteus16	g003258	"K02083,K06016"	allantoate amidohydrolase
mluteus16	g002784		Transcriptional regulator
mluteus16	g001686		NramP family
mluteus16	g003236	"K07636,K07768"	Histidine kinase
mluteus16	g001291	K01126	glycerophosphoryl diester phosphodiesterase
mluteus16	g001603		
mluteus16	g002558	K02283	type II secretion system protein E
mluteus16	g001743	K00252	acyl-Coa dehydrogenase
mluteus16	g003741	K07749	L-carnitine dehydratase bile acid-inducible protein F
mluteus16	g003886	K07778	Histidine kinase
mluteus16	g000360		Transposase
mluteus16	g001191		
mluteus16	g003529	K01599	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III (By similarity)
mluteus16	g000646	K08191	Major Facilitator Superfamily
mluteus16	g002684		Transposase
mluteus16	g003446	K03547	"Nuclease SbcCD, D subunit"
mluteus16	g000917		TPR-repeat-containing protein
mluteus16	g003070	K03531	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)
mluteus16	g001525		Major facilitator superfamily
mluteus16	g003675	K19002	group 1 glycosyl transferase
mluteus16	g001832		integral membrane protein
mluteus16	g000390		filamentation induced by cAMP protein fic
mluteus16	g002936		ABC superfamily ATP binding cassette transporter
mluteus16	g002520		integral membrane protein
mluteus16	g003867	K01443	GlcNAc 6-P deacetylase
mluteus16	g003834		integral membrane protein
mluteus16	g002022	K00252	Dehydrogenase
mluteus16	g001346		
mluteus16	g001503	"K02031,K02032"	(ABC) transporter
mluteus16	g001833		Domain of unknown function DUF20
mluteus16	g000073	K12583	Glycosyl transferase
mluteus16	g002436	K00481	"monooxygenase, FAD-binding"
mluteus16	g003018	"K00626,K00632,K02615"	Acetyl-CoA acetyltransferase
mluteus16	g003526	K05825	TRANSCRIPTIONAl REGULATOR GntR family
mluteus16	g001733	K03629	"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP (By similarity)"
mluteus16	g001282	K01154	type I restriction-modification system
mluteus16	g001419	K00626	Acetyl-CoA acetyltransferase
mluteus16	g001964	K00252	Dehydrogenase
mluteus16	g001761	"K00557,K03212"	Catalyzes the formation of 5-methyl-uridine at position 54 (m5U54) in all tRNAs (By similarity)
mluteus16	g001798	"K01488,K19572"	adenosine deaminase
mluteus16	g000898	K00812	Aspartate aminotransferase
mluteus16	g002560	K00626	Acetyl-CoA acetyltransferase
mluteus16	g000306		amidohydrolase
mluteus16	g003043	K00252	acyl-CoA dehydrogenase
mluteus16	g000160		
mluteus16	g001985	"K01696,K06001"	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)
mluteus16	g002024	K00481	4-hydroxybenzoate 3-monooxygenase (EC 1.14.13.2)
mluteus16	g000364	K00459	Pfam:NPD
mluteus16	g001132		group 1 glycosyl transferase
mluteus16	g001984	"K00931,K02604,K12657"	Catalyzes the transfer of a phosphate group to glutamate to form glutamate 5-phosphate which rapidly cyclizes to 5- oxoproline (By similarity)
mluteus16	g000498	K05540	Catalyzes the synthesis of dihydrouridine a modified base found in the D-loop of most tRNAs (By similarity)
mluteus16	g000446	"K00564,K11391"	Specifically methylates the guanine in position 1835 (m2G1835) of 23S rRNA (By similarity)
mluteus16	g000906	"K01775,K18348"	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids (By similarity)
mluteus16	g003413	K01468	Imidazolone-5-propionate hydrolase
mluteus16	g004103	"K07222,K18277"	Oxidoreductase
mluteus16	g001855	K01154	Type I restriction modification DNA specificity domain
mluteus16	g000988	K01589	phosphoribosylaminoimidazole carboxylase atpase subunit
mluteus16	g002941		"permease for cytosine purines, uracil, thiamine, allantoin"
mluteus16	g003494	K05540	Catalyzes the synthesis of dihydrouridine a modified base found in the D-loop of most tRNAs (By similarity)
mluteus16	g001543	"K00161,K00166"	Dehydrogenase
mluteus16	g002277		
mluteus16	g003650		Transcriptional regulator
mluteus16	g004014	K04487	Cysteine desulfurase
mluteus16	g001812	K00252	Dehydrogenase
mluteus16	g001087	K03110	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC) (By similarity)
mluteus16	g001903		Integrase
mluteus16	g000742	"K02031,K02032"	(ABC) transporter
mluteus16	g002703	K00075	Cell wall formation (By similarity)
mluteus16	g000909	K06048	ATP-dependent carboxylate-amine ligase (By similarity)
mluteus16	g000817	K03322	NramP family
mluteus16	g000824	"K00760,K04075"	"Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)"
mluteus16	g004071	"K00605,K06980"	Folate-binding protein YgfZ
mluteus16	g003054	K16148	Glycogen synthase
mluteus16	g003110	"K03148,K11996"	UBA ThiF-type NAD FAD binding protein
mluteus16	g001109	K02341	DNA polymerase III subunit delta'
mluteus16	g000605		Histidine kinase
mluteus16	g003550	K00148	Dehydrogenase
mluteus16	g001725	K01012	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism (By similarity)
mluteus16	g001888	K06048	ATP-dependent carboxylate-amine ligase (By similarity)
mluteus16	g001060	K05916	Globin
mluteus16	g000218	K04088	"SPFH domain, Band 7 family protein"
mluteus16	g004067	K02358	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)
mluteus16	g003803		Luciferase-like
mluteus16	g000165		Integrase
mluteus16	g000726	"K00248,K00249,K00257,K11410"	acyl-Coa dehydrogenase
mluteus16	g003041	K01692	Enoyl-CoA hydratase
mluteus16	g002179		
mluteus16	g000973	K01692	Enoyl-CoA hydratase
mluteus16	g000933	K03526	"Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (By similarity)"
mluteus16	g002486	K05916	Globin
mluteus16	g002446	"K00760,K04075"	"Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)"
mluteus16	g002631	K01956	carbamoyl-phosphate synthetase glutamine chain
mluteus16	g003222		Glycosyl transferase group 1
mluteus16	g002253	"K01436,K01451"	amidohydrolase
mluteus16	g002765		Aminotransferase
mluteus16	g001498	K08372	serine protease
mluteus16	g000731	"K02037,K02038"	"phosphate ABC transporter, permease"
mluteus16	g000731	"K02037,K02038"	"phosphate ABC transporter, permease"
mluteus16	g000626		
mluteus16	g003245	"K02037,K02038"	"phosphate ABC transporter, permease"
mluteus16	g001588	K17218	fad-dependent pyridine nucleotide-disulfide oxidoreductase
mluteus16	g000311	"K01897,K01911,K02549"	Amp-dependent synthetase and ligase
mluteus16	g001953		Pfam:Ribonuclease_BN
mluteus16	g002585	K03110	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC) (By similarity)
mluteus16	g000695	K08372	serine protease
mluteus16	g000809		type i phosphodiesterase nucleotide pyrophosphatase
mluteus16	g001421	K00252	Dehydrogenase
mluteus16	g004106	K01012	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism (By similarity)
mluteus16	g002709	"K01897,K01911,K02549"	Amp-dependent synthetase and ligase
mluteus16	g002840		"diacylglycerol kinase, catalytic"
mluteus16	g002921	"K01739,K01758"	Cys met metabolism pyridoxal-phosphate-dependent
mluteus16	g003479	"K02004,K09813"	ABC transporter (Permease)
mluteus16	g003209		TniQ
mluteus16	g000735	K18703	l-carnitine dehydratase bile acid-inducible protein F
mluteus16	g001545		Inherit from COG: Dehydrogenase
mluteus16	g000412		LysM
mluteus16	g001366	K00133	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate (By similarity)
mluteus16	g002580		
mluteus16	g002968	K04487	cysteine desulfurase
mluteus16	g000072	"K01903,K14067"	Succinyl-CoA synthetase subunit beta
mluteus16	g003019	"K02613,K05916,K11933"	phenylacetate-CoA oxygenase reductase PaaK subunit
mluteus16	g001992	"K01735,K13829"	3-dehydroquinate synthase
mluteus16	g001007		Membrane
mluteus16	g002758		macrolide-efflux protein
mluteus16	g003760	"K01739,K01758"	Cys met metabolism pyridoxal-phosphate-dependent
mluteus16	g000138	K03153	Glycine oxidase thiO
mluteus16	g000663	"K02484,K07642,K10819"	Histidine kinase
mluteus16	g003655	K06987	Zinc carboxypeptidase
mluteus16	g000553	K00925	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction (By similarity)
mluteus16	g004066	"K00446,K10621"	"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
mluteus16	g000047	K00605	The glycine cleavage system catalyzes the degradation of glycine (By similarity)
mluteus16	g001662		Inherit from bactNOG: SMC domain protein
mluteus16	g002849		glycosyl transferase group 1
mluteus16	g000485	"K07222,K18277"	Oxidoreductase
